	Group1	Depthlevel2	Depthlevel3	Depthlevel4	group	group2	avde	pH	ORP	moisture	NH4-N	NO3-N	NO2-N	DON	Fe2	DOC	TN	TP	T-Fe	T-Mn	TOC	CEC	Cl-	SO42-	K+	Na+	Ca2+	Mg2+	HCO32-	C:N	Soiltype
Z2.7	HH	D	D	D	HHD	HHD	315	5.69	226	22.45392823	3.759335597	0.183680892	0.011357602	8.571774976	1.500060621	11.01473084	0.201878318	0.322853609	19.65286994	0.269865627	1.984035356	4.17576	0.080355	0.151482845	0.011508951	0.02173913	0.029948436	0.024534409	0.126	9.827877399	2
Z2.8	HH	D	D	D	HHD	HHD	390	6.05	256	25.08324084	1.526015538	0.06254162	0.013833425	10.24744451	1.813706992	4.853229745	0.068445262	0.100417846	7.725316661	0.109443001	0.607008028	1.78816	0.07792	0.103243113	0.008951407	0.017391304	0.011033489	0.004909625	0.1008	8.86851783	3
Z9.1	HH	S	T	T	HHS	HHT	2.5	6.14	47	31.3497492	8.419518924	3.428228454	0.056714359	16.99446838	4.564403785	66.93583219	0.515002022	0.39142462	47.0475282	0.462682482	5.510075879	11.00328	0.085225	0.164579515	0.034526854	0.032608696	0.035562209	0.022317306	0.1008	10.69913446	2
Z9.5	HH	S	D	U	HHS	HHD	100	5.66	68	34.7299169	14.67208795	0.363770776	0.0124962	25.65033068	2.728280817	72.02661357	0.725073008	0.400981997	45.5182428	0.30950589	7.318417759	24.11984	0.090095	0.163392981	0.033248082	0.02826087	0.031445442	0.025247538	0.1008	10.09335292	2
Z9.6	HH	D	D	D	HHD	HHD	210	5.11	29	38.19444444	26.491875	0.165833333	0.022681163	22.95640046	2.349305556	45.2725	0.594896332	0.396177722	50.49319728	0.386038225	5.792280868	14.94536	0.08279	0.122556719	0.024296675	0.034782609	0.026383344	0.018573375	0.1008	9.736622263	2
Z9.7	HH	D	D	D	HHD	HHD	320	4.98	36	33.74384236	28.88866995	0.227364532	0.017177725	12.22418719	3.611083744	34.29860837	0.430908344	0.37976438	39.74735799	0.336451453	4.047283814	9.398	0.094965	0.104322641	0.016624041	0.019565217	0.022959636	0.023163005	0.0504	9.392447081	2
Z9.8	HH	D	D	D	HHD	HHD	460	4.75	15	20.01811594	1.476222826	0.22803442	0.015414827	4.632699275	1.260190217	16.94055707	0.104890149	0.107780157	24.74478822	0.159976837	1.066461797	1.97104	0.075485	0.094231288	0.010230179	0.019565217	0.029845864	0.015885424	0.0504	10.16741619	3
Z4.1	HH	S	T	T	HHS	HHT	2.5	5.85	243	50.85714286	18.85714286	1.176685714	0.054369857	40.51268571	4.488	100.5613714	1.305136918	0.522875817	43.55959446	0.307311243	13.56479891	14.80312	0.06818	0.17822934	0.031969309	0.045652174	0.087380794	0.032648546	0.1764	10.39339147	2
Z4.5	HH	S	D	U	HHS	HHD	105	5.61	363	36.66987488	2.118383061	0.369008662	0.012676131	25.95588707	3.99759384	26.40461983	0.483424125	0.385410415	36.68253581	0.404947917	4.431403387	10.09904	0.080355	0.178662545	0.019181586	0.032608696	0.03702872	0.025233824	0.1008	9.166698893	2
Z4.6	HH	D	D	D	HHD	HHD	180	5.69	0	27.87144362	6.764399368	2.007581665	0.014141782	8.987231296	1.950039515	16.45705479	0.518277354	0.363143631	44.61377785	0.266046855	4.465089298	10.80008	0.08279	0.142078137	0.016624041	0.032608696	0.024040807	0.02103733	0.1008	8.615250622	2
Z4.7	HH	D	D	D	HHD	HHD	300	5.65	270	21.32564841	1.140461095	0.315446686	0.006923145	5.775100865	1.698559078	8.183414986	0.142032424	0.209362038	22.13763298	0.259242021	1.235219665	4.7244	0.07792	0.192816261	0.007672634	0.023913043	0.01231426	0.015602	0.1008	8.696744246	3
Z4.8	HH	D	D	D	HHD	HHD	385	5.9	334	28.54503464	1.041214781	0.192817552	0.016510003	8.4732602	3.759942263	3.277898383	0.149103943	0.21024076	26.76668286	0.259045999	1.373150475	3.53568	0.080355	0.081043737	0.010230179	0.023913043	0.021096695	0.021147042	0.0756	9.209350543	4
Z4.9	HH	D	D	D	HHD	HHD	524	6.1	225	15.88868941	0.509910233	0.127477558	0.00454501	7.302918911	3.94021544	10.07072711	0.078558413	0.190965363	12.18780849	0.146841066	0.746757596	1.60528	0.090095	0.059018629	0.007672634	0.019565217	0.009347971	0.010870658	0.126	9.505762288	3
Z10.1	HH	S	T	T	HHS	HHT	2.5	4.52	130	27.90697674	124.9395349	52.18604651	0.043816134	21.67596899	10.4244186	130.0302326	2.991122715	0.784549586	46.0057947	0.323534768	30.87363783	18.15592	0.06818	0.56865523	0.028132992	0.052173913	0.450108117	0.079747113	0.1008	10.32175566	2
Z10.5	HH	S	D	U	HHS	HHD	97.5	5.88	365	30.80757727	4.225084746	0.313938185	0.009798305	16.13511466	3.008574277	34.59206381	0.515959253	0.376129718	43.2101626	0.488943089	5.572438124	12.00912	0.05844	0.138198611	0.019181586	0.023913043	0.048758039	0.031240572	0.1008	10.80015155	2
Z10.6	HH	D	D	D	HHD	HHD	210	5.28	76	52.32142857	55.52116071	0.198017857	0.011409827	16.04198512	6.092857143	63.41141071	1.081960545	0.402885532	40.54972331	0.249715169	11.47309247	15.21968	0.06818	0.154496621	0.017902813	0.017391304	0.031531382	0.025965239	0.1008	10.60398415	1
Z10.7	HH	D	D	D	HHD	HHD	310	5.17	11	21.71474359	25.17060897	0.243429487	0.015632737	14.25888221	29.42453926	21.3609375	0.292772041	0.301200638	21.45806136	0.175261097	3.122153403	4.32816	0.06331	0.138850191	0.012787724	0.019565217	0.025155245	0.026394946	0.0756	10.66411051	2
Z10.8	HH	D	D	D	HHD	HHD	400	5.21	21	48.52941176	37.88985294	0.178235294	0.013776103	13.86026961	49.57169118	39.88757353	1.464338313	0.550643087	20.42277018	0.18133138	21.35161546	12.27328	0.070615	0.228193245	0.012787724	0.02173913	0.078179752	0.043313494	0.1008	14.58106728	2
